Squad,Total_Points,Total_Points/MP,Total_xGF,Total_xGF/90,Total_xGA/90,Total_xGA,Total_xGD,Total_xGD/90,Total_GoalsFor,Total_GoalsAgainst,Total_GD,Total_MP,Total_W,Total_Win_Percentage,home_MP,home_W,home_D,home_L,home_GF,home_GA,home_GD,home_Pts,home_Pts/MP,home_xGF,home_xGA,home_xGD,home_xGD/90,away_MP,away_W,away_D,away_L,away_GF,away_GA,away_GD,away_Pts,away_Pts/MP,away_xGF,away_xGA,away_xGD,away_xGD/90
Manchester City,91,2.3947368421052633,80.5,2.1184210526315788,0.9368421052631579,35.6,44.9,1.181578947368421,96,34,62,38,28,73.6842105263158,19,14,5,0,51,16,35,47,2.47,40.7,14.0,26.7,1.41,19,14,2,3,45,18,27,44,2.32,39.8,21.6,18.2,0.96
Arsenal,89,2.3421052631578947,76.1,2.0026315789473683,0.7368421052631579,28.0,48.2,1.2684210526315791,91,29,62,38,28,73.6842105263158,19,15,2,2,48,16,32,47,2.47,43.5,13.5,30.0,1.58,19,13,3,3,43,13,30,42,2.21,32.6,14.5,18.2,0.96
Liverpool,82,2.1578947368421053,87.7,2.307894736842105,1.2026315789473685,45.7,42.0,1.105263157894737,86,41,45,38,24,63.1578947368421,19,15,3,1,49,17,32,48,2.53,54.7,17.6,37.1,1.95,19,9,7,3,37,24,13,34,1.79,33.0,28.1,4.9,0.26
Aston Villa,68,1.7894736842105263,63.3,1.6657894736842105,1.5763157894736843,59.900000000000006,3.3999999999999986,0.08947368421052627,76,61,15,38,20,52.63157894736842,19,12,4,3,48,28,20,40,2.11,39.0,26.3,12.7,0.67,19,8,4,7,28,33,-5,28,1.47,24.3,33.6,-9.3,-0.49
Tottenham,66,1.736842105263158,68.1,1.7921052631578946,1.668421052631579,63.400000000000006,4.7,0.1236842105263158,74,61,13,38,20,52.63157894736842,19,13,0,6,38,27,11,39,2.05,39.2,29.3,9.9,0.52,19,7,6,6,36,34,2,27,1.42,28.9,34.1,-5.2,-0.27
Chelsea,63,1.6578947368421053,74.5,1.9605263157894737,1.5263157894736843,58.0,16.3,0.42894736842105263,77,63,14,38,18,47.36842105263158,19,11,4,4,44,26,18,37,1.95,44.2,24.9,19.2,1.01,19,7,5,7,33,37,-4,26,1.37,30.3,33.1,-2.9,-0.15
Newcastle Utd,60,1.5789473684210527,76.2,2.005263157894737,1.6131578947368421,61.3,14.799999999999999,0.3894736842105263,85,62,23,38,18,47.36842105263158,19,12,4,3,49,22,27,40,2.11,46.4,25.0,21.4,1.12,19,6,2,11,36,40,-4,20,1.05,29.8,36.3,-6.6,-0.34
Manchester Utd,60,1.5789473684210527,56.4,1.4842105263157894,1.8184210526315787,69.1,-12.6,-0.33157894736842103,57,58,-1,38,18,47.36842105263158,19,10,3,6,31,28,3,33,1.74,32.3,31.7,0.6,0.03,19,8,3,8,26,30,-4,27,1.42,24.1,37.4,-13.2,-0.7
West Ham,52,1.368421052631579,52.400000000000006,1.3789473684210527,1.8710526315789473,71.1,-18.8,-0.4947368421052632,60,74,-14,38,14,36.8421052631579,19,7,8,4,31,28,3,29,1.53,26.3,29.7,-3.5,-0.18,19,7,2,10,29,46,-17,23,1.21,26.1,41.4,-15.3,-0.8
Crystal Palace,49,1.2894736842105263,48.5,1.2763157894736843,1.368421052631579,52.0,-3.4000000000000004,-0.08947368421052633,57,58,-1,38,13,34.21052631578947,19,8,4,7,37,26,11,28,1.47,27.3,20.9,6.5,0.34,19,5,6,8,20,32,-12,21,1.11,21.2,31.1,-9.9,-0.52
Bournemouth,48,1.263157894736842,55.9,1.4710526315789474,1.5289473684210524,58.099999999999994,-2.1999999999999997,-0.057894736842105256,54,67,-13,38,13,34.21052631578947,19,7,6,6,27,28,-1,27,1.42,27.4,24.3,3.1,0.17,19,6,3,10,27,39,-12,21,1.11,28.5,33.8,-5.3,-0.28
Brighton,48,1.263157894736842,56.8,1.4947368421052631,1.4605263157894737,55.5,1.3999999999999995,0.03684210526315788,55,62,-7,38,12,31.57894736842105,19,8,6,5,30,27,3,30,1.58,32.1,25.4,6.8,0.36,19,4,6,9,25,35,-10,18,0.95,24.7,30.1,-5.4,-0.28
Everton,48,1.263157894736842,54.0,1.4210526315789473,1.4526315789473685,55.2,-1.1000000000000014,-0.02894736842105267,40,51,-11,38,13,34.21052631578947,19,8,4,7,22,18,4,28,1.47,32.1,22.5,9.7,0.51,19,5,5,9,18,33,-15,20,1.05,21.9,32.7,-10.8,-0.57
Fulham,47,1.236842105263158,50.8,1.3368421052631578,1.655263157894737,62.900000000000006,-12.1,-0.31842105263157894,55,61,-6,38,13,34.21052631578947,19,9,2,8,31,24,7,29,1.53,27.9,27.8,0.1,0.0,19,4,6,9,24,37,-13,18,0.95,22.9,35.1,-12.2,-0.64
Wolves,46,1.2105263157894737,46.7,1.2289473684210528,1.7815789473684212,67.7,-20.9,-0.5499999999999999,50,65,-15,38,13,34.21052631578947,19,8,3,8,26,30,-4,27,1.42,23.2,30.5,-7.2,-0.38,19,5,4,10,24,35,-11,19,1.0,23.5,37.2,-13.7,-0.72
Brentford,39,1.0263157894736843,58.2,1.5315789473684212,1.4736842105263157,56.0,2.3,0.06052631578947368,56,65,-9,38,10,26.31578947368421,19,5,7,7,29,34,-5,22,1.16,30.8,29.7,1.1,0.06,19,5,2,12,27,31,-4,17,0.89,27.4,26.3,1.2,0.06
Nottingham Forest,36,0.9473684210526315,50.0,1.3157894736842106,1.4000000000000001,53.2,-3.3,-0.08684210526315789,49,67,-18,38,9,23.68421052631579,19,5,5,9,27,30,-3,20,1.05,25.0,21.8,3.2,0.17,19,4,4,11,22,37,-15,16,0.84,25.0,31.4,-6.5,-0.34
Luton Town,26,0.6842105263157895,42.400000000000006,1.1157894736842107,2.0526315789473686,78.0,-35.5,-0.9342105263157895,52,85,-33,38,6,15.789473684210526,19,4,4,11,28,37,-9,16,0.84,25.8,31.1,-5.3,-0.28,19,2,4,13,24,48,-24,10,0.53,16.6,46.9,-30.2,-1.59
Burnley,24,0.631578947368421,40.6,1.068421052631579,1.8526315789473686,70.4,-29.7,-0.781578947368421,41,78,-37,38,5,13.157894736842104,19,2,4,13,19,43,-24,10,0.53,22.6,29.1,-6.5,-0.34,19,3,5,11,22,35,-13,14,0.74,18.0,41.3,-23.2,-1.22
Sheffield Utd,16,0.42105263157894735,38.2,1.0052631578947369,2.0157894736842104,76.6,-38.4,-1.0105263157894737,35,104,-69,38,3,7.894736842105263,19,2,4,13,19,57,-38,10,0.53,24.2,37.8,-13.6,-0.72,19,1,3,15,16,47,-31,6,0.32,14.0,38.8,-24.8,-1.3
